id,candidate_id,position_id,stage,stage_start_date,recruitment_channel,recruitment_cost,notes
b43077ed-12a6-4eda-902b-82f348eb4824,8280b211-d383-4dbe-9352-00d25a1337ff,ca800f48-24a3-4802-9779-138796462142,Application received,1989-09-01,Job portal,0,
09cd38ae-de02-4129-ad14-4679ab87934a,8280b211-d383-4dbe-9352-00d25a1337ff,ca800f48-24a3-4802-9779-138796462142,Screening,1989-09-19,Job portal,392,
4953f466-cbfd-4f4d-a381-3deda5605259,8280b211-d383-4dbe-9352-00d25a1337ff,ca800f48-24a3-4802-9779-138796462142,Interview scheduled,1989-10-03,Job portal,1082,
19ab9255-e601-4301-8b99-8e556bf930da,8280b211-d383-4dbe-9352-00d25a1337ff,ca800f48-24a3-4802-9779-138796462142,Cultural interview,1989-10-24,Job portal,1765,
318baa0c-fdf0-46a6-8486-1edf61d0c7e6,8280b211-d383-4dbe-9352-00d25a1337ff,ca800f48-24a3-4802-9779-138796462142,Technical interview,1989-11-23,Agency,3043,
d7729f71-2467-41b6-a3ec-e483dda69eb9,8280b211-d383-4dbe-9352-00d25a1337ff,ca800f48-24a3-4802-9779-138796462142,Offer extended,1989-11-28,Job portal,4539,
9f4420f4-638b-4487-bf62-40b4415a6777,8280b211-d383-4dbe-9352-00d25a1337ff,ca800f48-24a3-4802-9779-138796462142,Offer declined,1989-12-23,Job portal,5662,
2c4e70df-1aaf-4799-8e72-aed89e1c1234,188ef9e0-cda3-4777-8d6b-0c4864212e81,ca800f48-24a3-4802-9779-138796462142,Application received,1989-12-25,Agency,0,
14cd37d5-89ef-46d7-98f4-491f4edc0f1b,188ef9e0-cda3-4777-8d6b-0c4864212e81,ca800f48-24a3-4802-9779-138796462142,Screening,1990-01-07,Job portal,372,
a17cdc24-93cd-4457-aaca-935b1205d252,188ef9e0-cda3-4777-8d6b-0c4864212e81,ca800f48-24a3-4802-9779-138796462142,Interview scheduled,1990-01-08,Job portal,968,
bf08136c-d002-4771-a659-ad439bf35192,188ef9e0-cda3-4777-8d6b-0c4864212e81,ca800f48-24a3-4802-9779-138796462142,Cultural interview,1990-02-04,Employee referral,1714,
f9bb6f8e-1f57-476e-8b16-d3226bc65d35,188ef9e0-cda3-4777-8d6b-0c4864212e81,ca800f48-24a3-4802-9779-138796462142,Technical interview,1990-02-08,Company website,2702,
123dd649-b6ce-43bd-9ee2-fa72be04ac60,40c2bc52-aa3c-435d-9178-b3c5c28f269b,ca800f48-24a3-4802-9779-138796462142,Application received,1990-02-15,Job portal,0,
4ef8635d-46ca-4692-a3cb-c024076b1d52,188ef9e0-cda3-4777-8d6b-0c4864212e81,ca800f48-24a3-4802-9779-138796462142,Offer extended,1990-02-16,Company website,4417,
cd950fb1-2081-4cac-93db-2ef9baf597b6,188ef9e0-cda3-4777-8d6b-0c4864212e81,ca800f48-24a3-4802-9779-138796462142,Offer accepted,1990-03-11,Job portal,6919,
48ac598b-77c5-4b4f-8bd1-4f74eccf8c3a,40c2bc52-aa3c-435d-9178-b3c5c28f269b,ca800f48-24a3-4802-9779-138796462142,Screening,1990-03-11,Other,208,
0d57b7bd-81aa-4360-8055-b923882f1006,7335affe-5cdd-42fa-b939-afcb10be9f58,45b743f6-aa8e-4bc9-aac1-4020269a90ea,Application received,1990-03-24,Job portal,0,
45e41a93-d890-4f7e-b086-373782ec2baf,40c2bc52-aa3c-435d-9178-b3c5c28f269b,ca800f48-24a3-4802-9779-138796462142,Interview scheduled,1990-04-06,Agency,632,
8a8cad3d-6599-466f-bce4-fe8b406ac0aa,7335affe-5cdd-42fa-b939-afcb10be9f58,45b743f6-aa8e-4bc9-aac1-4020269a90ea,Screening,1990-04-07,Agency,339,
aa4378a6-2b5f-4b8c-a14e-34c24b71d8d2,7335affe-5cdd-42fa-b939-afcb10be9f58,45b743f6-aa8e-4bc9-aac1-4020269a90ea,Interview scheduled,1990-04-19,Company website,957,
4de26fb2-b530-4e3a-8bbf-7f3654ba7ac7,40c2bc52-aa3c-435d-9178-b3c5c28f269b,ca800f48-24a3-4802-9779-138796462142,Cultural interview,1990-04-20,Other,1686,
5b4b3a24-242d-49fe-abaa-1c68b974c46d,7335affe-5cdd-42fa-b939-afcb10be9f58,45b743f6-aa8e-4bc9-aac1-4020269a90ea,Cultural interview,1990-04-23,Other,1661,
9cc7b2f0-1b1a-43d2-838c-6f9054c63b9f,40c2bc52-aa3c-435d-9178-b3c5c28f269b,ca800f48-24a3-4802-9779-138796462142,Technical interview,1990-05-11,Job portal,2632,
843497c0-9670-41b0-9a29-06e435a0a9b1,7335affe-5cdd-42fa-b939-afcb10be9f58,45b743f6-aa8e-4bc9-aac1-4020269a90ea,Technical interview,1990-05-19,Company website,2449,
952e425b-988f-42ae-b635-2c92f2e135de,40c2bc52-aa3c-435d-9178-b3c5c28f269b,ca800f48-24a3-4802-9779-138796462142,Offer extended,1990-06-04,Job portal,4581,
2430d5da-f3aa-4654-86b7-f54d53868b2f,7335affe-5cdd-42fa-b939-afcb10be9f58,45b743f6-aa8e-4bc9-aac1-4020269a90ea,Offer extended,1990-06-07,Company website,4570,
